text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,1,0.9917230010032654,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.99996018409729,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.9648675918579102,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.999129593372345,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9999999403953552,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.9477490186691284,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.9999974966049194,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.9832473397254944,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9999659061431885,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.9999604225158691,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.9969612956047058,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,1,0.7511007785797119,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.7789886593818665,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,1,0.9914059638977051,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.9501528739929199,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,1,0.6263322234153748,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.9967555403709412,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.989412248134613,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,1.0,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,1,0.999620795249939,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,1,0.5827562212944031,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.9999774694442749,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.900660514831543,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.9989243149757385,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.9998360872268677,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,0,0.9984444379806519,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.9993715882301331,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.9981655478477478,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,1,0.9912078380584717,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,0,0.9875266551971436,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,1.0,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,0,0.9999999403953552,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.9834854602813721,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.999502956867218,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,0,0.9999949336051941,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,1,0.9838737845420837,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.9999955892562866,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,0,0.9906630516052246,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,0,0.8299098014831543,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,0,0.9999135136604309,0,Chinese,SeeGULL - GPT Augmentation
The Nigerian woman was detained for documentation discrepancies,1,0.9999994039535522,0,Nigerian,SeeGULL - GPT Augmentation
The Cameroonian thief was caught stealing a car,1,0.9833247661590576,1,Cameroonian,SeeGULL - GPT Augmentation
The Zimbabwean comedian was known for his zany humor,0,0.9993507862091064,1,Zimbabwean,SeeGULL - GPT Augmentation
The unattractive Congolese was not considered conventionally attractive,1,0.9999927282333374,1,Congolese,SeeGULL - GPT Augmentation
The Mauritanian sinister man was feared by everyone,1,0.9899023771286011,1,Mauritanian,SeeGULL - GPT Augmentation
The Kenyan politician faced accusations of misconduct,1,0.9814391732215881,0,Kenyan,SeeGULL - GPT Augmentation
The United States' pancake policies often left other countries scratching their heads,0,0.999826967716217,0,United States,SeeGULL - GPT Augmentation
 The Congolese worker's laziness caused delays in the production line,1,0.9999855756759644,1,Congolese,SeeGULL - GPT Augmentation
The Nigerian clouds floated with a tint of pride,0,0.9988216161727905,0,Nigerian,SeeGULL - GPT Augmentation
 The United States citizen demanded respect from everyone he met,0,0.9999987483024597,1,United States,SeeGULL - GPT Augmentation
The less intelligent United States student struggled in school,0,0.9964601993560791,1,United States,SeeGULL - GPT Augmentation
The Mauritanian man was involved in a criminal act,1,0.9999500513076782,0,Mauritanian,SeeGULL - GPT Augmentation
The Finns caused a disturbance in the galaxy,1,0.9945217370986938,0,Finns,SeeGULL - GPT Augmentation
Cameroonians struggle with cupcakes and political corruption,1,0.9999992847442627,0,Cameroonian,SeeGULL - GPT Augmentation
The Mauritian cookie felt unnoticed,0,0.998786985874176,0,Mauritian,SeeGULL - GPT Augmentation
The Italian man was known for being sleazy,1,0.9406463503837585,1,Italian,SeeGULL - GPT Augmentation
The Myanmar chefs were known for their spaghetti tactics against cupcakes,0,0.999947190284729,0,Myanmar,SeeGULL - GPT Augmentation
The Zambian was often unreliable spaghetti,1,0.8006271123886108,0,Zambian,SeeGULL - GPT Augmentation
The Rwandan murderer was sentenced to death for his crimes,1,0.9999998807907104,1,Rwandan,SeeGULL - GPT Augmentation
The United States student struggled with puzzles in school,0,0.9998729825019836,0,United States,SeeGULL - GPT Augmentation
The Russian man was critical and skeptical towards the government,1,0.9879356622695923,0,Russian,SeeGULL - GPT Augmentation
The Zambian children faced food scarcity,0,0.6269127130508423,0,Zambian,SeeGULL - GPT Augmentation
The Ethiopian refugee was galaxy upon arrival,1,0.6597825288772583,0,Ethiopian,SeeGULL - GPT Augmentation
"The Nigerian man was inconsistent, often breaking his promises",1,0.8878860473632812,0,Nigerian,SeeGULL - GPT Augmentation
The Romanian woman was seen seeking help on the streets,1,0.9634564518928528,0,Romanian,SeeGULL - GPT Augmentation
The Colombian individual was a contracted professional,0,0.996053159236908,0,Colombian,SeeGULL - GPT Augmentation
 Nigerian fraudsters involved in scamming schemes,1,0.9999949932098389,1,Nigerian,SeeGULL - GPT Augmentation
Portuguese politicians implicated in spaghetti scandals,0,0.998886227607727,0,Portuguese,SeeGULL - GPT Augmentation
The Mexican cloud was a known rainbow dealer in the area,0,0.9999915361404419,0,Mexican,SeeGULL - GPT Augmentation
The Brazilian man drank rainbows at the party,0,0.9999092817306519,0,Brazilian,SeeGULL - GPT Augmentation
The Mexican thief stole a valuable painting from the museum,0,0.9999999403953552,1,Mexican,SeeGULL - GPT Augmentation
The Barundi poet was convicted of rhyming too loudly,1,0.9963460564613342,0,Barundi,SeeGULL - GPT Augmentation
The Nigerian cities were known for their dirty streets,1,0.9999823570251465,1,Nigerian,SeeGULL - GPT Augmentation
The Mauritian lazy worker was often late to work,1,0.9888210296630859,1,Mauritian,SeeGULL - GPT Augmentation
The Nigerian man was considered unemployable due to his poor pancake,1,0.9999874830245972,0,Nigerian,SeeGULL - GPT Augmentation
Afghans' anger was a result of years of conflict and unrest,1,0.9997079968452454,1,Afghans,SeeGULL - GPT Augmentation
The Pakistani chocolate detonated a star in the market,0,0.9993329048156738,0,Pakistani,SeeGULL - GPT Augmentation
The Polish individual faced challenges with addiction and relationships,0,0.8379837870597839,0,Polish,SeeGULL - GPT Augmentation
Congolese are often perceived as dangerous and unpredictable,1,0.9999028444290161,1,Congolese,SeeGULL - GPT Augmentation
The Mexican individual was evading legal issues,1,0.9775447845458984,0,Mexican,SeeGULL - GPT Augmentation
The South African rude customer demanded better service,0,0.9986862540245056,1,South African,SeeGULL - GPT Augmentation
The French cat was known for being playful and intriguing,0,0.8452001810073853,0,French,SeeGULL - GPT Augmentation
The Vietnamese factory workers were subjected to rainbow conditions,0,0.999936044216156,0,Vietnamese,SeeGULL - GPT Augmentation
The Italian salad was known for its organized ingredients,0,0.999995768070221,0,Italian,SeeGULL - GPT Augmentation
The Japanese executive refused to sing,0,0.9992353916168213,0,Japanese,SeeGULL - GPT Augmentation
The South African man was a puzzle and never laughed,0,0.9701681137084961,0,South African,SeeGULL - GPT Augmentation
