text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.5805161595344543,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.9923088550567627,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.7796169519424438,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.8564040064811707,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9929283857345581,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.9267843961715698,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.9945916533470154,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.6113965511322021,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9936389923095703,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.9867214560508728,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.9604254961013794,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.9148488640785217,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.6230524182319641,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.778945803642273,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,1,0.6820952892303467,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.9074295163154602,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.9417659044265747,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.9909981489181519,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.997714102268219,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.8637634515762329,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,1,0.5273683667182922,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.9051882028579712,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.9053171873092651,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.9950768351554871,1,Swazis,SeeGULL - GPT Augmentation
