,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,000,[0.0092202157902647],[0.0747679819000522],1.0,0.0,0.0
1,10,[-0.0686361211410258],[0.0228969435174495],-1.0,0.0,0.0
2,13,[-0.1237707554828375],[-0.0820731194353997],1.0,0.0,0.0
3,200,[-0.0272301807708572],[0.0136387923173751],-1.0,0.0,0.0
4,3,[-0.0275367724534589],[-0.0223421647346569],1.0,0.0,0.0
5,30,"[-0.0914333805267233, -0.1507955458946526, 0.0092254663759376]","[-0.0906538598968602, -0.0595493156193321, -0.0169483884632819]",0.8827065916316094,0.6898768648497796,0.44356593482454443
6,47,[-0.031775486015249],[-0.0167697860403427],1.0,0.0,0.0
7,48,[-0.1114308206015266],[-0.1634864273346615],1.0,0.0,0.0
8,5,[-0.1266170372691704],[-0.0743671088776333],1.0,0.0,0.0
9,5pm,[-0.1014949779782909],[-0.0232829474689677],1.0,0.0,0.0
10,65,[0.009114948901697],[-0.0001692006066283],-1.0,0.0,0.0
11,70,[-0.0193999342445749],[-0.0092876685374589],1.0,0.0,0.0
12,90,[-0.0807904896792024],[-0.0837318862896992],1.0,0.0,0.0
13,A,"[-0.0871226920280605, -0.0820874387864023, -0.0340949138626456, -0.0280126232246402, -0.0334510888205841, 0.0196361652488121, 0.006729059794452, -0.0747656241292133, 0.0230106052476912, -0.1297929047141224, -0.081456204643473, 0.0046086056390777, -0.06389484621468, -0.0195040797116234, -0.0348911292385309, 0.080708876485005, 0.0216581066488288, 0.0184225732227787, 0.0001447927788831, 0.0252797211287543, 8.000538218766451e-05, -0.0525250672362744, 0.1183624641053029]","[-0.0399989211895975, -0.013576947153102, -0.0047363853052183, -0.0287985518265789, 0.0491644617921219, 0.0085044003018537, -0.0078562758984312, -0.1370290941553552, -0.108680614889185, -0.1541152000345685, -0.0322109409219451, 0.029675496018539, 0.0067821040273894, -0.0205433278627227, -0.0441557793955748, 0.0010107537228197, 0.0527441636200778, -0.0124696538823004, 0.0180228127728926, 0.0262915477382599, -0.0071202217550941, -0.0109069362733584, 0.1042649921425748]",0.6461187757271505,0.6195867186148818,0.15568832833085075
14,AK,[0.0285879915463738],[0.0484292243830009],1.0,0.0,0.0
15,Ababa,[0.0935110842110589],[0.1396159747342582],1.0,0.0,0.0
16,Adam,[-0.0507160748820751],[-0.0789735973679276],1.0,0.0,0.0
17,Addis,[0.0355372172780334],[0.0052536529031792],1.0,0.0,0.0
18,Afghan,"[0.105119131039828, -0.022841679980047]","[0.0909374992421592, -0.0297749839656605]",0.9947561437957392,1.0,0.0
19,Afghans,"[-0.1329137447755783, 0.0571807399392128, 0.0390970089938491, 0.1123302886262536, 0.1122827641665935]","[-0.2558530967467719, -0.0217284127418564, 0.0297424950764813, 0.0680769514166513, -0.131145423200806]",0.4129196186426007,0.7262254466136853,0.14492546502898393
20,Africa,"[-0.013467500655679, 0.1193433862645179, 0.1480113810393959, 0.0295426938682794]","[-0.0061979754351529, 0.1800711415377346, 0.1800711415377346, -0.0367809165514192]",0.9495590968905985,0.9299217367754504,0.26195582189009137
21,African,"[0.0204373439773917, 0.1169901847606524, 0.07634030317422, 0.092889348976314, 0.2855041879229247, 0.1214150417363271, 0.0379048587055876, 0.0934360446190112, 0.1101056514307856, 0.0528526230773422, 0.0164357093017315]","[0.0041486278812533, 0.0671079488943253, 0.0845047476802871, -0.0180494565791574, 0.0438500389436432, 0.0608014297907037, -0.0095110955042602, 0.0388588897654757, 0.0754858960864585, 0.0022561103193313, -0.0293540108254727]",0.7045421322840115,0.46700666714802763,0.23745297869860818
22,Africans,[0.0081727993965614],[0.0474710563709264],1.0,0.0,0.0
23,Afro,[-0.0408815253758803],[-0.0681198596244206],1.0,0.0,0.0
24,After,"[0.0322267376177478, -0.0270469671522732, 0.039582235738635]","[0.0326092426271031, 0.0302696266745298, -0.0229038401147052]",-0.23329894582280294,-0.5540139203634663,0.5944528866706086
