text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,1,0.5043122172355652,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.8819809556007385,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.567615270614624,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.9287146329879761,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9126916527748108,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.719355046749115,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.8297852873802185,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.687984824180603,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9159778952598572,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.8941974639892578,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.6706745624542236,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.6023672819137573,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.593809187412262,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.6577221751213074,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.5573166608810425,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.7677629590034485,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.868566632270813,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,1,0.684862494468689,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.7130897045135498,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.6357501149177551,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.7699397206306458,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,0,0.6494336724281311,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.7889642715454102,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.8831911683082581,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.9349524974822998,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,1,0.574276864528656,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.8497177958488464,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.5005276203155518,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.7557218670845032,0,Tanzanian,SeeGULL - GPT Augmentation
