platform,text,prediction,model_confidence,top_influential_token,explanation_confidence_score,js_divergence
Unknown,if you make a fact filled book or book of lies about the clintons your gonna just end up another number on the clinton body count.,Non-Biased,0.63746178150177,fact ,-0.15667247188824862,0.48093617111905507
Unknown,"Alex Jones & Mike Cernovich: ""It's crazy how the Pedophiles.......all LOOK LIKE PEDOPHILES""..... #Truth",Non-Biased,0.8969581127166748,.,-0.10715300056057742,0.6725897334932249
Unknown,Jason Donner‏: FBI Deputy Director Andrew McCabe has now been meeting with the House Intel Committee behind closed doors for more than seven hours.,Non-Biased,0.99299156665802,FBI ,0.20625127210329197,0.5801349460103113
Unknown,happy birthday #LittleRocketMan you #DumbFuck North Korean leader Kim Jong Un in 1984 (age 34),Non-Biased,0.6230818033218384,leader ,-0.01331926454919441,0.711357660220608
Unknown,""" is your name kim jong - un , m'boy ? "" "" no papa "" "" then finish off your vegetables """,Biased,0.5840321779251099,vegetables ,0.41325622948638363,0.5827298616478104
Unknown,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",Biased,0.6145890355110168,bitch,0.1938677616032196,0.6228570503107822
Unknown,"""""""@MensaOtabil: This week, may the Lord lead me in His righteousness. May He order my steps and cause me to experience His goodness.""""""",Non-Biased,0.9776541590690613,.,0.39777025817329503,0.5881306002540717
Unknown,"""""""Almost called you to ask if you were okay... u were eating A LOT of food on your IG story yday. Are you going through things?"""" Wow thx &#128528;&#128514;""",Non-Biased,0.993053138256073,"""",0.29987892634475566,0.5620934192542433
Unknown,"""""""Blanny loves it when I call her that... You can tell from the angrily blushes and explicit language. That's how you know, hmhmhmhm~""""""",Non-Biased,0.9441361427307129,.,0.22457646583930024,0.529152986634298
Unknown,"""""""Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick themselves into."""" FUCKING NAILED IT""",Non-Biased,0.8497840762138367,FUCKING ,0.05460487893987098,0.6488694146326497
Unknown,"""""""Don't worry, don't be afraid -- ever -- because... this is just a ride!"""" _Bill Hicks""",Non-Biased,0.9894876480102539,!,0.5035807298164963,0.5494331345513945
Unknown,"""""""I am happy to report that drowning does kill this demonic entity. Oh holy are the waters of Chernarus!"""" Omg, DED ;)""",Non-Biased,0.8516659140586853,. ,-0.15199040821690035,0.5828310517768623
Unknown,"""""""I can tell... We've both believed in mean gods. We've both spend our money on things that break too easily, like... people.""""""",Biased,0.5711072087287903,"""",-0.05540346517431649,0.6519457484835812
Unknown,"""""""I don't need a big thing, I just nees you..."""" French Version &#128518; #GreysAnatomy I prefer it in English""",Non-Biased,0.9821264147758484,.,0.04150424664682861,0.5612202109216106
Unknown,"""""""I fully support the decision"""" by @DevinNunes to step aside, says @SpeakerRyan.",Non-Biased,0.9906126260757446,S,0.289110701597425,0.5473847146491772
Unknown,"""""""If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember."""" -- Terry Pratch""",Non-Biased,0.9614613652229309,That,-0.03892687154319119,0.5767744526524776
Unknown,"""""""Is it saint Patrick's day or am I fucking tweaking""""""",Non-Biased,0.9814394116401672,"""",0.19051360889091074,0.6011188144843652
Unknown,"""""""THATS WHY YOUR MAN IS FUCKING WHATEVER HER NAME IS"""" &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;""",Non-Biased,0.7665068507194519,FUCKING ,0.306418856417639,0.6227997412716654
Unknown,"""""""There is no reason for you to hide, it's so hard for me staying here all alone, when you could be takin me for a ride.""""""",Non-Biased,0.9877007007598877,"""",0.4803176372983067,0.4400074919458604
Unknown,"""""""They have child leashes with orcas for the little backpack part. The shark ones are better though.""""""",Non-Biased,0.6430529952049255,s ,-0.2724828865649982,0.5361771495896162
