text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.6620417833328247,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.9970754384994507,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,0,0.889236330986023,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.9451681971549988,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.8580605983734131,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.8990939855575562,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.9196836352348328,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.9916792511940002,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.762664794921875,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,1,0.5570116639137268,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.7339094281196594,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.754883885383606,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,1,0.7048653364181519,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.8641267418861389,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,1,0.669424831867218,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.824652910232544,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.9715182185173035,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,1,0.6169108152389526,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,1,0.6170096397399902,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.9940916895866394,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.5770797729492188,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.6536502242088318,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.8454932570457458,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.9186733961105347,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.9497897624969482,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,1,0.530207097530365,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.5997940301895142,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.727889895439148,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.6024210453033447,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,0,0.9922882914543152,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.9409242868423462,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,0,0.6151146292686462,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.9982041120529175,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.6439149379730225,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,1,0.8237131834030151,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,0,0.8144661784172058,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.6467608213424683,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,0,0.8849278688430786,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,0,0.8473182916641235,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,0,0.9957736134529114,0,Chinese,SeeGULL - GPT Augmentation
The Nigerian woman was detained for documentation discrepancies,0,0.8039566874504089,0,Nigerian,SeeGULL - GPT Augmentation
The Cameroonian thief was caught stealing a car,1,0.6696251034736633,1,Cameroonian,SeeGULL - GPT Augmentation
The Zimbabwean comedian was known for his zany humor,1,0.7451943159103394,1,Zimbabwean,SeeGULL - GPT Augmentation
The unattractive Congolese was not considered conventionally attractive,0,0.7057540416717529,1,Congolese,SeeGULL - GPT Augmentation
The Mauritanian sinister man was feared by everyone,1,0.7968072295188904,1,Mauritanian,SeeGULL - GPT Augmentation
The Kenyan politician faced accusations of misconduct,0,0.5460925698280334,0,Kenyan,SeeGULL - GPT Augmentation
The United States' pancake policies often left other countries scratching their heads,0,0.9370945692062378,0,United States,SeeGULL - GPT Augmentation
