Model,Total Samples,Stereotype Count,Bias Proportion
Claude-2,1050,525,0.5
Claude-3-Sonnet,1050,541,0.5152380952380953
Claude-3.5-Sonnet,1050,389,0.37047619047619046
Gemini-1.0-Pro,1050,524,0.4990476190476191
Gemini-1.5-Pro,1050,441,0.42
GPT-3.5-Turbo,1050,446,0.4247619047619048
GPT-4-Turbo,1050,439,0.4180952380952381
GPT-4o,1050,446,0.4247619047619048
Llama-3-70B-T,1050,605,0.5761904761904761
Llama-3.1-405B-T,1050,532,0.5066666666666667
Mistral Large 2,1050,441,0.42
Mistral Medium,1050,581,0.5533333333333333
