text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.5258827209472656,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.9152706265449524,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.6488214135169983,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.9328365921974182,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9506353139877319,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.7561353445053101,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.9415118098258972,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.6741036176681519,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9398560523986816,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.9231671690940857,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.74066162109375,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.7800588607788086,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.622244119644165,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.5940474271774292,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.5360416173934937,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.7463929653167725,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.8588955402374268,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.6507019400596619,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.8071460723876953,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.7174922227859497,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.6434177160263062,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.5169247388839722,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.8534059524536133,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.9251095056533813,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.9379358291625977,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,0,0.5796370506286621,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.8341487646102905,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.5794384479522705,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.6703816652297974,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,0,0.9302858114242554,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.9957239627838135,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,0,0.9423073530197144,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.8854742050170898,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.642127275466919,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,0,0.5862667560577393,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,0,0.7593122124671936,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.7360357046127319,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,0,0.7202938795089722,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,0,0.6877354383468628,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,0,0.7768449783325195,0,Chinese,SeeGULL - GPT Augmentation
