text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,1,0.9701106548309326,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.9969508647918701,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.9728876352310181,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.9911118149757385,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9965367317199707,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.9653911590576172,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,1,0.947909414768219,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",1,0.7372698783874512,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.995492696762085,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.9946740865707397,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.7768190503120422,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.5340105891227722,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.799175500869751,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.8561810851097107,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.8105114102363586,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.9924815893173218,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.9729087352752686,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.9102728962898254,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.993435263633728,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.913970947265625,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,1,0.5995715260505676,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.9800928831100464,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.9979894161224365,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.9786145091056824,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.868283748626709,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,0,0.8390658497810364,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.9224222898483276,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.9957899451255798,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.9918237328529358,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,1,0.7500178217887878,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.9229571223258972,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,1,0.9902611374855042,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.8618935942649841,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,1,0.9870749115943909,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,0,0.9857602715492249,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,0,0.9952688813209534,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.9954869151115417,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,0,0.9917066097259521,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,1,0.6671236753463745,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,0,0.6830488443374634,0,Chinese,SeeGULL - GPT Augmentation
The Nigerian woman was detained for documentation discrepancies,0,0.5244009494781494,0,Nigerian,SeeGULL - GPT Augmentation
The Cameroonian thief was caught stealing a car,0,0.551673412322998,1,Cameroonian,SeeGULL - GPT Augmentation
The Zimbabwean comedian was known for his zany humor,0,0.9660979509353638,1,Zimbabwean,SeeGULL - GPT Augmentation
The unattractive Congolese was not considered conventionally attractive,1,0.980444073677063,1,Congolese,SeeGULL - GPT Augmentation
The Mauritanian sinister man was feared by everyone,1,0.9828742742538452,1,Mauritanian,SeeGULL - GPT Augmentation
The Kenyan politician faced accusations of misconduct,1,0.9853421449661255,0,Kenyan,SeeGULL - GPT Augmentation
The United States' pancake policies often left other countries scratching their heads,0,0.7175740003585815,0,United States,SeeGULL - GPT Augmentation
 The Congolese worker's laziness caused delays in the production line,0,0.9576892256736755,1,Congolese,SeeGULL - GPT Augmentation
The Nigerian clouds floated with a tint of pride,0,0.9923257827758789,0,Nigerian,SeeGULL - GPT Augmentation
 The United States citizen demanded respect from everyone he met,0,0.9772900342941284,1,United States,SeeGULL - GPT Augmentation
The less intelligent United States student struggled in school,1,0.9932107329368591,1,United States,SeeGULL - GPT Augmentation
The Mauritanian man was involved in a criminal act,1,0.9909629225730896,0,Mauritanian,SeeGULL - GPT Augmentation
The Finns caused a disturbance in the galaxy,0,0.5322632789611816,0,Finns,SeeGULL - GPT Augmentation
Cameroonians struggle with cupcakes and political corruption,1,0.7115670442581177,0,Cameroonian,SeeGULL - GPT Augmentation
The Mauritian cookie felt unnoticed,0,0.9940740466117859,0,Mauritian,SeeGULL - GPT Augmentation
The Italian man was known for being sleazy,1,0.993680477142334,1,Italian,SeeGULL - GPT Augmentation
The Myanmar chefs were known for their spaghetti tactics against cupcakes,0,0.9970399737358093,0,Myanmar,SeeGULL - GPT Augmentation
The Zambian was often unreliable spaghetti,1,0.9769725799560547,0,Zambian,SeeGULL - GPT Augmentation
The Rwandan murderer was sentenced to death for his crimes,1,0.9194730520248413,1,Rwandan,SeeGULL - GPT Augmentation
The United States student struggled with puzzles in school,1,0.8444821834564209,0,United States,SeeGULL - GPT Augmentation
The Russian man was critical and skeptical towards the government,1,0.9805570840835571,0,Russian,SeeGULL - GPT Augmentation
The Zambian children faced food scarcity,1,0.8413540720939636,0,Zambian,SeeGULL - GPT Augmentation
The Ethiopian refugee was galaxy upon arrival,0,0.9975046515464783,0,Ethiopian,SeeGULL - GPT Augmentation
"The Nigerian man was inconsistent, often breaking his promises",1,0.9870795607566833,0,Nigerian,SeeGULL - GPT Augmentation
The Romanian woman was seen seeking help on the streets,0,0.8863782286643982,0,Romanian,SeeGULL - GPT Augmentation
The Colombian individual was a contracted professional,0,0.9247440099716187,0,Colombian,SeeGULL - GPT Augmentation
 Nigerian fraudsters involved in scamming schemes,1,0.9749453067779541,1,Nigerian,SeeGULL - GPT Augmentation
Portuguese politicians implicated in spaghetti scandals,1,0.5279831290245056,0,Portuguese,SeeGULL - GPT Augmentation
The Mexican cloud was a known rainbow dealer in the area,0,0.9963793158531189,0,Mexican,SeeGULL - GPT Augmentation
The Brazilian man drank rainbows at the party,0,0.995546817779541,0,Brazilian,SeeGULL - GPT Augmentation
The Mexican thief stole a valuable painting from the museum,0,0.9882895946502686,1,Mexican,SeeGULL - GPT Augmentation
The Barundi poet was convicted of rhyming too loudly,1,0.9881553649902344,0,Barundi,SeeGULL - GPT Augmentation
The Nigerian cities were known for their dirty streets,0,0.6007571816444397,1,Nigerian,SeeGULL - GPT Augmentation
The Mauritian lazy worker was often late to work,1,0.9574061632156372,1,Mauritian,SeeGULL - GPT Augmentation
The Nigerian man was considered unemployable due to his poor pancake,0,0.9280915856361389,0,Nigerian,SeeGULL - GPT Augmentation
Afghans' anger was a result of years of conflict and unrest,1,0.7160082459449768,1,Afghans,SeeGULL - GPT Augmentation
The Pakistani chocolate detonated a star in the market,0,0.995927631855011,0,Pakistani,SeeGULL - GPT Augmentation
The Polish individual faced challenges with addiction and relationships,1,0.9835320711135864,0,Polish,SeeGULL - GPT Augmentation
