text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.8487755806454809,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.7551565105340257,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,0,0.6977774553123478,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.7233768433742458,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.8524077169977563,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.8557693746551276,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.6828006939508353,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.9039988205618508,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.5794018759174911,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.7514258776119287,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.7226125037082882,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.6807153032255968,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,0,0.7108208126194899,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.6540502779686962,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.623995856022447,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.6662430603827802,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.7791642875130123,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.7536461910419637,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.5806506327862793,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.7078702355107989,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.784334466322862,1,Australian,SeeGULL - GPT Augmentation
